PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
YKQMI,r2q1rk1/5ppp/p1b1p3/2ppQ3/P7/1P2P1N1/2P2PPP/R4RK1 b - - 0 18,a8b8 g3h5 f7f6 e5e6,1495,75,84,202,crushing kingsideAttack middlegame short,https://lichess.org/one6ncTP/black#36
YKQUA,6R1/P7/8/4p1pp/2p2p2/2P2PkP/r7/5K2 b - - 3 49,g3f3 a7a8q a2a8 g8a8,1222,173,-19,6,advancedPawn advantage endgame promotion short,https://lichess.org/xt7UYJql/black#98
YKQhI,1k1r3r/p5p1/1p4p1/PP1Npp2/2P1P3/3K2Pq/5Q2/R7 b - - 0 29,f5f4 a5b6 h3g3 f2g3 f4g3 b6a7,1471,77,75,291,advancedPawn advantage endgame long queensideAttack,https://lichess.org/ThRSu0Nj/black#58
YKQsQ,r2q1rk1/pp2pp2/6pQ/2pP4/2P1R3/1P6/P4PPP/6K1 b - - 0 26,e7e6 e4h4 d8h4 h6h4,1500,500,100,0,endgame equality quietMove short,https://lichess.org/DR5mqEd4/black#52
YKRJN,3r2k1/1p3pp1/p4n2/4pQ1p/2P5/1Pq5/P1B5/1K6 b - - 3 36,d8d4 f5c8 d4d8 c8d8 f6e8 d8e8,1252,76,85,471,endgame long mate mateIn3,https://lichess.org/JhWVhMD9/black#72
YKRL0,8/p2P1p2/1p2k3/1Pp1p3/P1P1K2p/7P/8/8 b - - 0 39,e6d7 e4e5 d7e7 e5f5 f7f6 f5g4,1500,500,100,0,endgame equality long pawnEndgame,https://lichess.org/QOemsr0L/black#78
YKRxs,5k2/p4rpp/3B4/1pp5/6b1/3n2P1/PP5P/4R1K1 b - - 1 28,f8g8 e1e8 f7f8 e8f8,973,106,82,23,endgame mate mateIn2 short,https://lichess.org/DEQqfcL3/black#56
YKRya,6k1/2p2pPR/pb2b3/8/4PBP1/2P2P2/1q1K4/7Q w - - 6 33,d2d3 e6c4 d3c4 b2b5,1992,80,82,48,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/unfYy8HF#65
YKS3K,r4rk1/p2n2pp/1p1p4/1Pp1p1q1/P1P1P3/3P1RPP/7K/R1BQ4 b - - 0 19,g5h5 f3f8 a8f8 d1h5,903,95,95,128,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/T34mGGIw/black#38
YKSbL,5r2/4kp1p/4n3/1B1p2pQ/1PP5/6qP/r5P1/2R2RK1 w - - 1 38,h5g4 a2g2 g1h1 g2h2,1482,81,86,46,mate mateIn2 middlegame short,https://lichess.org/ixno5ZEH#75
YKSmO,6k1/p1p2b1p/1p4p1/8/Q5P1/8/P1P4q/R4K2 w - - 6 38,a1e1 b6b5 a4e4 f7c4 e4c4 b5c4,2270,83,81,69,crushing endgame exposedKing long,https://lichess.org/Mbn7Yfd3#75
